ID,logFC,fdr,pseudo_t,Rank_FC,Rank_t,Normed_FC,Normed_t
TNFRSF22,0.199203809,0.819400838,0.08650359623033839,0.6398843930635838,0.5896596017983301,48.54829319242567,NA
HINFP,0.098756505,0.819400838,0.08650359623033839,0.5687219010918433,0.5896596017983301,48.0231331412076,NA
PRDM16,0.213828157,0.819566718,0.08641568629137665,0.6495183044315992,0.5895953757225434,48.6247524206864,NA
RAB27B,0.214405571,0.819925646,0.08622552931875055,0.6498394348105331,0.589145793192036,48.627771264933465,NA
GM48557,0.194345595,0.819925646,0.08622552931875055,0.6360308285163776,0.589145793192036,48.52289340754873,NA
EXO5,0.160642368,0.819925646,0.08622552931875055,0.613937058445729,0.589145793192036,48.34668570746417,NA
SLC41A3,0.139871009,0.819925646,0.08622552931875055,0.6005780346820809,0.589145793192036,48.23808858716407,NA
ACAP3,0.123945502,0.819925646,0.08622552931875055,0.5882466281310212,0.589145793192036,48.154826620553266,NA
TOR1A,0.0908147,0.819925646,0.08622552931875055,0.5637122671804753,0.589145793192036,47.98161168115364,NA
DDX41,0.072745437,0.819925646,0.08622552931875055,0.5499678869621066,0.589145793192036,47.88714169834004,NA
PHPT1,0.100602616,0.820090134,0.08613841280212918,0.5702633269107258,0.5890815671162491,48.032785005505666,NA
ZFP263,0.098066504,0.820471515,0.0859364921161404,0.5680796403339756,0.5890173410404624,48.01952566797467,NA
1700029I15RIK,0.243106082,0.820600948,0.08586798564971662,0.6649967886962107,0.5889531149646756,48.77782369268947,NA
A930004J17RIK,0.201121681,0.820602328,0.0858672552997426,0.6409762363519589,0.5886319845857418,48.55832023862444,NA
APH1C,0.17410542,0.820602328,0.0858672552997426,0.6229929351316634,0.5886319845857418,48.417073431139386,NA
SLC5A1,0.16164387,0.820602328,0.0858672552997426,0.6147077713551702,0.5886319845857418,48.35192177474195,NA
NPAT,0.11369876,0.820602328,0.0858672552997426,0.5806679511881824,0.5886319845857418,48.10125445545525,NA
EIF5B,0.058654741,0.820602328,0.0858672552997426,0.5389210019267823,0.5886319845857418,47.813472517203444,NA
ANO8,0.141844308,0.820640422,0.08584709494991428,0.602247912652537,0.588567758509955,48.24840541760791,NA
KDM2B,0.096109978,0.820755613,0.08578613852662544,0.5670520231213872,0.5885035324341683,48.00929653037262,NA
UPF3A,0.084550716,0.820948965,0.08568384033220178,0.5587026332691073,0.5884393063583815,47.94886222917961,NA
RXYLT1,0.096380468,0.820955766,0.085680242514721075,0.5671804752729608,0.5883750802825948,48.01071071011262,NA
GM2274,0.263626248,0.821122256,0.08559217643312067,0.6766859344894027,0.588310854206808,48.88510752210477,NA
SLC18B1,0.193298936,0.821149556,0.0855777376060393,0.6350032113037893,0.5881181759794477,48.517421249788796,NA
SDR39U1,0.108663536,0.821149556,0.0855777376060393,0.5763648041104689,0.5881181759794477,48.074929224329736,NA
MCMBP,0.069574828,0.821149556,0.0855777376060393,0.547334617854849,0.5881181759794477,47.87056507439369,NA
SLC25A51,0.121564469,0.821465092,0.08541088709670747,0.5861913937058446,0.5879254977520874,48.14237806929865,NA
STK11IP,0.088505527,0.821465092,0.08541088709670747,0.5614001284521516,0.5879254977520874,47.96953882939297,NA
SAYSD1,0.088331632,0.821465092,0.08541088709670747,0.5612074502247912,0.5879254977520874,47.96862966903255,NA
EXOSC10,0.082268996,0.821823537,0.08522142471586028,0.5569685292228644,0.5878612716763005,47.93693290759159,NA
GM5559,0.166986485,0.822015003,0.08512025586548388,0.6183044315992293,0.5877970456005138,48.379854111950706,NA
