Gene,HCC70_D_a,HCC70_J_a,HCC70_JB2_a,HCC70_JB3_a,HCC70_JB6_a,HCC70_B2_a,HCC70_B3_a,HCC70_B6_a,HCC70_D_b,HCC70_J_b,HCC70_JB2_b,HCC70_JB3_b,HCC70_JB6_b,HCC70_B2_b,HCC70_B3_b,HCC70_B6_b
RMND5A,171,135,40,78,110,70,41,190,105,183,76,56,37,171,140,200
RMND5B,140,137,91,86,105,110,68,88,170,249,91,69,41,259,103,94
RMRP,16,20,25,35,82,23,4,7,9,68,30,46,36,23,13,12
RMRPP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMST_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RN7SKP119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RN7SKP12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
